Text,Sentiment
понятно зацепить данный спектакль зритель сюжет поверхностный образ герой проработать никакой искра ощущаться принцип ощущаться вокальный дать второстепенный герой намного главный действовать лицо,Negative
очень плохой звук сидеть центр угол ряд примерно напротив правый окончание сцена расслышать петь хором невозможно громкость шипение свистения пр многий сольный ария драматургия незамысловатый реальность отношение иметь главный актёр пожалуй петь неплохо всё остальной перевешивать,Negative
мюзикл вызвать никакой эмоция относительно постановка который играться культурный столица наш страна мюзикл показаться завораживать думать мой мнение схожий другой зритель бурный овация спешить скорый покинуть зал,Negative
интересно настоящий негативный отзыв накидываться купить положительный судить полупустой зала давно понять вроде претензия качество видно вложить немало деньга производство декорация целое получиться очень очень плохо самый отвратительный это звук слово разобрать вообще конец начало пытаться читать губа невнятный сюжет недоработать персонаж никакой симпатия никто вызвать абсолютно раскрыть любовный тема стоцкий проходить весь спектакль рука карман ухмылка ощущение делать одолжение свой присутствие натужный место пение вызывать сочувствие понравиться оркестр красивый баритон один актёр,Negative
разочарование предел музыка невразумительный слово либретто непонятный первый сцена аэропорт актёр петь невпопад сначала подумать специально логический объяснение такой профессионализм найти рифма песня отсутствовать данность сюжет история антигерой сомнительный моральный качество который баба вечно мешать заниматься любимый дело играть шахматы история нелогичный шахматист который год угробить семейный личный жизнь стать предатель свой родина конец совершить социальный самоубийство лайкать живой оркестр который расположить оркестровый холм яма номер бюрократический проволочка жизнь политический беженец который вызвать искренний смех злоба день голос хороший рекомендовать,Negative
искренне понимать почему столько восторженный отзыв каждый свой неплохой постановка мой мнение москва гораздо зрелищный мюзикл оперетта десятибальный шкала поставить,Negative
абсолютно логически связанный спектакль мотивация главный герой никак объясняться смотреть неинтересный,Negative
суббота мюзикл шахматы глубина возмутить такой антипатриотичный постановка особенно казаться сценарий говорить любовь измена любовный треугольник сидеть мой душа глубоко нравственно морально просмотр неприятно оскорбить сцена бангкок вопрос организатор шоу хотеть показать развращение который буквально течь сцена затмевать быть спектакль забыть показывать такой сцена одевать мужчина женский транслировать сексуальный грязь зал совершенно буквально прекрасный игра музыкант очень тонкий находка композиция аранжировка великолепный вокал жена русский гроссмейстер вокальный дать американский шахматист совершенно дивный партитура хор хотеться спросить автор постановка это кто хотеть сказать режим советский союз хороший это исторический факт видеть американец особо сильно критиковать свой режим ещё сравнивать россия власть тот настоятельно рекомендовать обратить внимание министерство культура роскомнадзор иной структура рада спектакль дойти вручение маска это возмутительно россия свобода слово мысль запрет разврат число моральный разложение,Negative
очень купить отзыв игра актёр неплохой остальной это вокал звук неразборчивый крик сюжет подкидывать кусок хореография уровень средний школа очень жалеть повестись отзыв,Negative
говорить ужасный мюзикл поверить весь спектакль слушабельный песня отстой бывать время неизвестный мюзикл весь плейлист добавлять это случай плохо отстроить звук оркестр забивать голос хор вообще непонятно петь спасибо стоцкий всё,Negative
разочаровать зацепить запомниться вроде артист стараться выкладываться случиться,Negative
ужасный сценарий диалог проработать конфликт возникать пустой место следствие минимальный эмпатия персонаж звук очень плохо выставить петь один человек получаться кокофония ходить мдм призрак опера небо земля какой сравнение это произведение идти единственный плюс стоцкий отлично петь тащить вообще смотреть,Negative
разочаровать читать отзыв покупка всё грохотать слово разобрать запоминаться мелодия скучно слово ещё сюжет антисоветский плохой парень кгб хотя зал звучать овация крик браво странно артист выкладываться молодец вина старание поставить звезда,Negative
